# DistrPoint:Pointing with distractors
# MT:Movement time
# HIT:Success
# inPractice:practice block
# A:Target Amplitude
# W:Target Width
# D:Distractor Density
# HitDistractor:Press on a distractor
# HitBG:Press on background
# Mouse.x:
# Mouse.y:
# Mouse.Left:
# Date: 2013-03-22-11-33-24
# Participant: S0
block	trial	MT	HIT	inPractice	A	W	D	HitDistractor	HitBG	Mouse.x	Mouse.y	Mouse.Left	
Integer	String	String	Integer	Integer	String	Integer	Integer	Integer	Integer	Integer	
1	4	191	null	true	400	20	low	0	0	981.0	657.0	0.0
1	4	199	null	true	400	20	low	0	0	965.0	641.0	0.0
1	4	207	null	true	400	20	low	0	0	940.0	614.0	0.0
1	4	215	null	true	400	20	low	0	0	915.0	591.0	0.0
1	4	223	null	true	400	20	low	0	0	900.0	576.0	0.0
1	4	231	null	true	400	20	low	0	0	875.0	551.0	0.0
1	4	239	null	true	400	20	low	0	0	848.0	524.0	0.0
1	4	247	null	true	400	20	low	0	0	823.0	497.0	0.0
1	4	255	null	true	400	20	low	0	0	812.0	482.0	0.0
1	4	263	null	true	400	20	low	0	0	797.0	455.0	0.0
1	4	271	null	true	400	20	low	0	0	786.0	428.0	0.0
1	4	279	null	true	400	20	low	0	0	779.0	397.0	0.0
1	4	287	null	true	400	20	low	0	0	779.0	382.0	0.0
1	4	295	null	true	400	20	low	0	0	784.0	359.0	0.0
1	4	303	null	true	400	20	low	0	0	795.0	346.0	0.0
1	4	311	null	true	400	20	low	0	0	808.0	335.0	0.0
1	4	319	null	true	400	20	low	0	0	815.0	330.0	0.0
1	4	327	null	true	400	20	low	0	0	824.0	323.0	0.0
1	4	335	null	true	400	20	low	0	0	833.0	318.0	0.0
1	4	343	null	true	400	20	low	0	0	838.0	311.0	0.0
1	4	351	null	true	400	20	low	0	0	840.0	306.0	0.0
1	4	359	null	true	400	20	low	0	0	842.0	300.0	0.0
1	4	367	null	true	400	20	low	0	0	842.0	296.0	0.0
1	4	375	null	true	400	20	low	0	0	842.0	292.0	0.0
1	4	383	null	true	400	20	low	0	0	842.0	289.0	0.0
1	4	391	null	true	400	20	low	0	0	842.0	285.0	0.0
1	4	399	null	true	400	20	low	0	0	841.0	283.0	0.0
1	4	407	null	true	400	20	low	0	0	840.0	277.0	0.0
1	4	415	null	true	400	20	low	0	0	838.0	268.0	0.0
1	4	423	null	true	400	20	low	0	0	836.0	261.0	0.0
1	4	431	null	true	400	20	low	0	0	835.0	259.0	0.0
1	4	503	null	true	400	20	low	0	0	834.0	260.0	0.0
1	4	511	null	true	400	20	low	0	0	834.0	262.0	0.0
1	4	519	null	true	400	20	low	0	0	835.0	264.0	0.0
1	4	527	null	true	400	20	low	0	0	837.0	268.0	0.0
1	4	535	null	true	400	20	low	0	0	838.0	270.0	0.0
1	4	543	null	true	400	20	low	0	0	839.0	274.0	0.0
1	4	550	null	true	400	20	low	0	0	840.0	276.0	0.0
1	4	559	null	true	400	20	low	0	0	840.0	280.0	0.0
1	4	567	null	true	400	20	low	0	0	840.0	282.0	0.0
1	4	575	null	true	400	20	low	0	0	839.0	286.0	0.0
1	4	583	null	true	400	20	low	0	0	838.0	288.0	0.0
1	4	591	null	true	400	20	low	0	0	837.0	290.0	0.0
1	4	599	null	true	400	20	low	0	0	836.0	292.0	0.0
1	4	607	null	true	400	20	low	0	0	836.0	294.0	0.0
1	4	615	null	true	400	20	low	0	0	834.0	296.0	0.0
1	4	623	null	true	400	20	low	0	0	831.0	301.0	0.0
1	4	631	null	true	400	20	low	0	0	831.0	305.0	0.0
1	4	639	null	true	400	20	low	0	0	831.0	309.0	0.0
1	4	647	null	true	400	20	low	0	0	831.0	313.0	0.0
1	4	655	null	true	400	20	low	0	0	831.0	315.0	0.0
1	4	663	null	true	400	20	low	0	0	831.0	317.0	0.0
1	4	671	null	true	400	20	low	0	0	831.0	319.0	0.0
1	4	679	null	true	400	20	low	0	0	831.0	321.0	0.0
1	4	839	null	true	400	20	low	0	0	831.0	323.0	0.0
1	4	895	null	true	400	20	low	0	0	831.0	325.0	0.0
1	5	0	null	true	400	20	low	0	0	831.0	325.0	1.0
1	5	71	null	true	400	20	low	0	0	831.0	325.0	0.0
1	5	191	null	true	400	20	low	0	0	832.0	326.0	0.0
1	5	199	null	true	400	20	low	0	0	833.0	327.0	0.0
1	5	207	null	true	400	20	low	0	0	833.0	330.0	0.0
1	5	215	null	true	400	20	low	0	0	836.0	335.0	0.0
1	5	223	null	true	400	20	low	0	0	839.0	342.0	0.0
1	5	231	null	true	400	20	low	0	0	843.0	352.0	0.0
1	5	239	null	true	400	20	low	0	0	848.0	368.0	0.0
1	5	247	null	true	400	20	low	0	0	857.0	397.0	0.0
1	5	255	null	true	400	20	low	0	0	859.0	414.0	0.0
1	5	263	null	true	400	20	low	0	0	864.0	453.0	0.0
1	5	271	null	true	400	20	low	0	0	864.0	494.0	0.0
1	5	279	null	true	400	20	low	0	0	864.0	531.0	0.0
1	5	287	null	true	400	20	low	0	0	864.0	552.0	0.0
1	5	295	null	true	400	20	low	0	0	861.0	583.0	0.0
1	5	303	null	true	400	20	low	0	0	859.0	608.0	0.0
1	5	311	null	true	400	20	low	0	0	857.0	621.0	0.0
1	5	319	null	true	400	20	low	0	0	857.0	626.0	0.0
1	5	431	null	true	400	20	low	0	0	857.0	629.0	0.0
1	5	439	null	true	400	20	low	0	0	856.0	630.0	0.0
1	5	447	null	true	400	20	low	0	0	855.0	631.0	0.0
1	5	455	null	true	400	20	low	0	0	854.0	632.0	0.0
1	5	463	null	true	400	20	low	0	0	853.0	633.0	0.0
1	5	479	null	true	400	20	low	0	0	853.0	635.0	0.0
1	5	503	null	true	400	20	low	0	0	852.0	637.0	0.0
1	5	511	null	true	400	20	low	0	0	851.0	639.0	0.0
1	5	519	null	true	400	20	low	0	0	851.0	643.0	0.0
1	5	527	null	true	400	20	low	0	0	851.0	647.0	0.0
1	5	535	null	true	400	20	low	0	0	851.0	653.0	0.0
1	5	543	null	true	400	20	low	0	0	850.0	656.0	0.0
1	5	551	null	true	400	20	low	0	0	848.0	662.0	0.0
1	5	559	null	true	400	20	low	0	0	846.0	668.0	0.0
1	5	567	null	true	400	20	low	0	0	845.0	671.0	0.0
1	5	575	null	true	400	20	low	0	0	844.0	673.0	0.0
1	5	583	null	true	400	20	low	0	0	844.0	675.0	0.0
1	5	599	null	true	400	20	low	0	0	844.0	677.0	0.0
1	5	607	null	true	400	20	low	0	0	844.0	679.0	0.0
1	5	615	null	true	400	20	low	0	0	844.0	681.0	0.0
1	5	623	null	true	400	20	low	0	0	844.0	683.0	0.0
1	5	630	null	true	400	20	low	0	0	844.0	685.0	0.0
1	5	639	null	true	400	20	low	0	0	844.0	687.0	0.0
1	5	647	null	true	400	20	low	0	0	844.0	689.0	0.0
1	5	663	null	true	400	20	low	0	0	844.0	691.0	0.0
1	5	703	null	true	400	20	low	0	0	844.0	693.0	0.0
1	5	711	null	true	400	20	low	0	0	843.0	694.0	0.0
1	5	719	null	true	400	20	low	0	0	842.0	695.0	0.0
1	5	727	null	true	400	20	low	0	0	841.0	697.0	0.0
1	5	735	null	true	400	20	low	0	0	840.0	699.0	0.0
1	5	759	null	true	400	20	low	0	0	840.0	701.0	0.0
1	5	783	null	true	400	20	low	0	0	840.0	703.0	0.0
1	5	791	null	true	400	20	low	0	0	840.0	705.0	0.0
1	5	799	null	true	400	20	low	0	0	840.0	707.0	0.0
1	5	807	null	true	400	20	low	0	0	840.0	709.0	0.0
1	5	815	null	true	400	20	low	0	0	840.0	711.0	0.0
1	5	823	null	true	400	20	low	0	0	840.0	713.0	0.0
1	5	831	null	true	400	20	low	0	0	840.0	715.0	0.0
1	5	839	null	true	400	20	low	0	0	840.0	717.0	0.0
1	5	847	null	true	400	20	low	0	0	839.0	718.0	0.0
1	5	855	null	true	400	20	low	0	0	838.0	719.0	0.0
